Country,Talkgroup,Bridges
UK,23530,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 Y - YSF 23530
UK,23540,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 I - YSF 23540
UK,23550,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 T - YSF 23550
UK,23551,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> Echolink 694789 678185 628606 TGIF23551 YSF83071
UK,23560,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 O - YSF 23560
UK,23570,<img src="https://freedmr.cymru/talkgroups/flags/2342.png" /> XLX005 W - YSF 23570
UK,23579,<img src="https://freedmr.cymru/talkgroups/flags/2342.png" /> XLX994 B
UK,23580,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 H - YSF 23580
UK,23590,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 E - YSF 23590
UK,23595,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> YSF23595 - Echolink M0GLJ-L
UK,23490,<img src="https://freedmr.cymru/talkgroups/flags/234.png" /> XLX005 F - YSF 55182 & 23490
Thailand,5202,<img src="https://freedmr.cymru/talkgroups/flags/520.png" /> ASL-55087
Thailand,5204,<img src="https://freedmr.cymru/talkgroups/flags/520.png" /> XLX727 C
Thailand,5205,<img src="https://freedmr.cymru/talkgroups/flags/520.png" /> XLX138 F
Thailand,52022,<img src="https://freedmr.cymru/talkgroups/flags/520.png" /> XLX822 C
Switzerland,22810,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> WIRESX (Node 27628)
Switzerland,22811,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> WIRESX HB9VD-ROOM (Node 27095) YSF
Switzerland,22822,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> XLX229 modulo D
Switzerland,22823,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> XLX229 modulo G
Switzerland,22824,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> AllStar 538451 XLX328 A
Switzerland,22826,<img src="https://freedmr.cymru/talkgroups/flags/228.png" /> WIRESX HB9T (Node 47052)
Spain,214,<img src="https://freedmr.cymru/talkgroups/flags/214.png" /> (P)
Portugal,26810,<img src="https://freedmr.cymru/talkgroups/flags/268.png" /> Portugal-TETRA
Peru,7160,<img src="https://freedmr.cymru/talkgroups/flags/716.png" /> XLX716 C
Panama,7144,<img src="https://freedmr.cymru/talkgroups/flags/714.png" /> WiresX 43689 /YSF 24542 /FCS 04 44 /EUROPELINK 44 /DMRC 7144
Panama,71441,<img src="https://freedmr.cymru/talkgroups/flags/714.png" /> AllstarLink 51970 /EchoLink HP3ICC-R /HP3EDO-R
Pakistan,41033,<img src="https://freedmr.cymru/talkgroups/flags/410.png" /> MMDVM-2m-FM
Nicaragua,71000,<img src="https://freedmr.cymru/talkgroups/flags/710.png" /> XLX711 A
New Zealand,530,<img src="https://freedmr.cymru/talkgroups/flags/530.png" /> ASL560026 XLX299-E
New Zealand,5302,<img src="https://freedmr.cymru/talkgroups/flags/530.png" /> XLX299-F
Morocco,6041,<img src="https://freedmr.cymru/talkgroups/flags/604.png" /> Echolink via CN8VX-R and on AllStarLink via node:492510.
Italy,22220,<img src="https://freedmr.cymru/talkgroups/flags/222.png" /> (P) Echolink YSF10231 NXDN 22220  ASL501840 URF271D TGIF
Italy,22200,<img src="https://freedmr.cymru/talkgroups/flags/222.png" /> YSF DSTAR NXDN P25 M17 TGIF Wires-X Echolink
Greece‎,202,<img src="https://freedmr.cymru/talkgroups/flags/202.png" /> Wires X 88943-YSF 00202
Greece‎,2029,<img src="https://freedmr.cymru/talkgroups/flags/202.png" /> YSF 02029
Greece‎,20281,<img src="https://freedmr.cymru/talkgroups/flags/202.png" /> YSF 20281
France,20800,<img src="https://freedmr.cymru/talkgroups/flags/208.png" />  	YSF-France ID 58617
France,208000,<img src="https://freedmr.cymru/talkgroups/flags/208.png" /> YSF France-Wide ID 64879
El Salvador,706003,<img src="https://freedmr.cymru/talkgroups/flags/706.png" /> DMR XLX503C / PEANUT XRF503C / DSTAR DCS503C / YSF 07490
China,46001,<img src="https://freedmr.cymru/talkgroups/flags/460.png" /> YSF=XLX075A/YSF46001 D*=XLX074A P25=46001 NXDN=46001
China,46004,<img src="https://freedmr.cymru/talkgroups/flags/460.png" /> YSF=XLX075E/YSF46004 D*=XLX074E P25=46004 NXDN=46004
China,46010,<img src="https://freedmr.cymru/talkgroups/flags/460.png" /> YSF=XLX075K/YSF46010 D*=XLX074K P25=46010 NXDN=46010
China,46055,<img src="https://freedmr.cymru/talkgroups/flags/460.png" /> YSF=XLX075F/YSF46055 D*=XLX074F P25=46055 NXDN=46055
China,46516,<img src="https://freedmr.cymru/talkgroups/flags/460.png" /> YSF=XLX075G/YSF46516 D*=XLX074G P25=46516 NXDN=46516
Chile,73010,<img src="https://freedmr.cymru/talkgroups/flags/730.png" />   YSF51028 WiresX81510
Chile,73020,<img src="https://freedmr.cymru/talkgroups/flags/730.png" /> XLX200
Chile,730170,<img src="https://freedmr.cymru/talkgroups/flags/730.png" /> RedChile EchoLink
Bulgaria,284,<img src="https://freedmr.cymru/talkgroups/flags/284.png" /> YSF 45047
Brasil,72410,<img src="https://freedmr.cymru/talkgroups/flags/724.png" /> YSF Maceio 75666
Belgium,20600,<img src="https://freedmr.cymru/talkgroups/flags/206.png" /> XLX210D
Australia,505,<img src="https://freedmr.cymru/talkgroups/flags/505.png" /> ASL560020 XLX299-V YSF30691
Australia,5050,<img src="https://freedmr.cymru/talkgroups/flags/505.png" /> ASL560021 XLX299-W YSF82110
Australia,50599,<img src="https://freedmr.cymru/talkgroups/flags/505.png" /> ASL560023
Australia,50556,<img src="https://freedmr.cymru/talkgroups/flags/505.png" /> EchoLink *HAM* ASL49903 XLX299-H
Australia,50510,<img src="https://freedmr.cymru/talkgroups/flags/505.png" /> ASL572110 XLX299-I
Argentina ,72254,<img src="https://freedmr.cymru/talkgroups/flags/722.png" /> Bridge Echolink ARG-LU
